CA48	87A1
A91C	2958
07D3	68C3
E480	1789
FBE4	A8F9
DAF2	54B1
C7B2	D5C3
E417	B50E
4970	0C17
D716	CDB7
6B1D	F036
BD5C	F3C5
D4BA	4C96
8321	D128
DB4C	28D7
042C	4FBC
8209	F164
E376	FDE1
16D8	73C4
8947	BC4D
E4D9	D65B
60BF	83CF
5376	C0ED
78ED	B7A0
A13B	35E4
D30C	DE68
2409	4F91
BF4E	82E6
4F98	2C9A
DBF9	4376
6A54	3B5C
A1D2	16C3
380C	FB9A
B57D	4602
8E23	3AE7
08DE	650A
843C	756B
2EB4	27F0
E56D	3E1F
13DA	13F2
3DB0	5D3E
D834	D542
06BC	DA54
B375	7E56
14C0	48DA
4B21	F084
FD4C	A762
B087	7951
95D8	5739
B39F	41F5
ACE6	A9EB
CB31	AF8B
018B	D1C9
BE0F	F650
5C4B	305E
FC25	C6F1
2AD9	D102
4AD9	132B
7589	5036
31A0	063F
3851	5D2F
319A	9DC3
EC84	4B95
5831	35C8
48A9	0489
E38A	D962
C6B8	40EB
815E	59C4
295B	97E6
761F	59E4
9D65	237C
2198	7FD1
6EB0	C63B
BCE5	B912
6E93	2FA7
3FC5	FB75
04B6	D732
37B9	7B80
9F36	204F
0962	7C3B
03DF	D140
E0D5	256D
2EC5	A803
7CE0	AF18
0953	2C34
8E37	2E3A
423F	E96F
50EB	90A3
B381	7C4A
BFC5	80D4
30C5	B693
84E2	6AEF
D37B	C36A
8C1B	2CD3
B678	9D7B
C0A7	DCAB
FBAC	3209
6F09	3894
C3B9	6AD9
A718	7C4E
A46B	3AFC
B61F	467E
FE37	A62B
632B	48AC
5940	EA82
AEB2	419A
42CE	230A
03BC	16E7
D9C4	A516
C06B	B913
60CD	E9C7
752B	2B6E
0258	5790
5ED6	0A14
A8B3	ACD6
B3FE	D036
7C0D	1ED7
4A6E	85A6
EA36	C5A2
8DF5	63AF
6D28	B2FA
9638	E714
74A0	C2B3
8CE1	0D8A
4B7E	9C7B
2301	42A7
2790	6015
9AB8	168E
AD85	B65C
7C36	3470
E9F6	0271
5A87	FCD0
1305	D60F
1892	3CB6
B83F	8C42
D94C	154A
8402	8CE5
82ED	6942
7BF5	CA08
3D78	EF54
89F4	CFA4
5D6A	BA38
81EF	3AF6
1C5D	60C5
BCD4	B6E9
4157	F9C5
9AB4	8721
A8E4	1568
A097	5891
B807	BF56
C653	51FC
0DF2	DE57
382A	10D5
2180	897F
6DAC	D946
6E97	E360
04F3	2A87
9C32	51D2
03FD	7A48
A21F	A981
A1E9	2A51
162D	F915
8C7D	BE8C
FA82	F15D
D653	6473
DBC6	28CB
0A34	30B4
A5B1	2584
28A7	6917
B310	8EA7
8E54	3B86
1DAE	BD70
F963	D650
DC06	EB64
2B8D	0EBC
47AC	4E15
9FBC	0165
30B5	F078
ABD5	CD82
F01E	CF14
A83C	D420
72EB	DF54
C8B3	0D51
1BA8	E571
BAEC	E82F
C7AD	F4C5
03DF	036F
98AF	FE0B
A0D3	DAC0
9D7F	5802
6B34	983A
5BD0	02B6
5E9B	D298
C3EF	B2F4
A027	0C4F
B57C	3A2E
F7AE	A0C7
D25B	DBA9
CE03	F41C
4A6F	35C6
4A8F	52E6
1652	39EA
A21D	FACB
E742	3170
47C2	50C7
786B	2E58
71B9	CF94
B465	6A21
B408	A3DE
A284	4FEB
DE5A	0294
E7AB	A145
432E	6E9A
FEAB	9706
2ED6	9D07
3FD9	9DF6
1AE4	14C9
37A9	8B9F
04CA	607A
1BA6	A358
39E5	70ED
3B54	102A
7B25	961C
35AC	8C2B
30AD	0E91
9EC2	6A73
9BA0	A163
67AD	47FB
C6E9	13A7
C9E7	E27F
57E6	C8B2
03E7	46A0
4C0D	38ED
D125	E310
47E9	BD46
5A48	2C9B
F6E0	3A69
40F9	5CB9
39B1	346F
D50F	C842
0E8F	43FC
8C0F	5AEC
8E2B	5ACE
2750	F95B
21B8	2738
56DB	F94E
C401	CF21
E380	A2F7
A5FC	7D6F
F276	D618
F705	5F90
6B75	F56D
D0EF	E692
05E1	F35C
C365	08A1
A630	208C
