4605	04EB
2A52	FA29
39A0	5818
2157	0D4B
4D00	AF50
4D36	1068
E108	DD3B
7326	D27B
ADD0	E25A
1EB3	24F2
5980	F225
2698	D684
92AD	D7F4
FD45	D7FD
EC53	EBB5
92F6	7510
5841	87D7
97D2	6F5C
2388	36CD
E727	D1CB
D5ED	7B98
2910	939E
62B0	83FB
75ED	5F3B
29D5	AE6F
7A5F	94E4
0936	B713
CC57	85D1
1890	3444
F1E0	CF3C
765E	6203
F4EC	266B
6583	FE1E
E0A7	29DD
F84B	AFE0
4013	E3A0
3C86	947C
F961	4766
6239	7260
4984	5DB9
FA55	59FD
FC04	C3EB
ADEB	E2CE
AC7B	ACA9
BCEE	4EE9
9778	1CAC
A708	D225
E13D	BB79
C112	08E7
61DF	86BD
B2CB	AB16
4DCD	FC8F
5081	A9F3
0C62	6E70
53B8	E480
BF13	2A3F
68F1	4560
1C7C	DBEA
5FAF	173A
823C	C1B5
30EA	A1E8
2ACF	5A1C
2B2E	B472
4C8E	24F5
AAAD	7279
FE7D	4071
5112	F50A
1D9A	2B4E
7A5A	518D
2CC5	D2E0
42A6	C2EA
A85D	E163
CDEC	9968
8487	5C10
2A2E	A7BC
B483	8C97
960C	FE22
F259	D19C
2A6A	6709
71D6	6EB7
DD56	4A70
1471	92E9
5911	EF88
A097	9105
933A	B993
5A8D	E3E3
C624	3DBC
01B8	59D7
4FBA	87C8
0149	07A2
C38B	6C1B
DB13	90E5
99C2	2BDD
D794	1449
CBDA	ABAE
B1D5	8A67
EFF4	9714
BD7A	0FD4
28E6	4DB6
E382	E715
AB71	CFCF
0E8D	F7A9
2694	CD5E
EA22	034B
8ADF	74D5
1962	E88C
B59F	6B91
1F77	15D2
6CE2	5890
D97E	DEAC
256B	FB7E
B605	65C2
5672	AE44
C635	CC74
C21A	33D3
0F94	6A46
160E	0B88
5298	3361
6EC4	E213
1B06	092D
A83A	340F
ED5F	DFF7
4315	44B1
E030	F929
D72F	9305
1593	1D28
C035	CDA9
AC36	7152
342B	30E4
4F50	62B7
3C10	2FF7
1F79	198A
3BBB	BD39
532D	A493
B81A	DB76
FF72	0553
3698	5658
98D9	0597
74A6	8C31
CC12	2EAC
165F	9F35
EF0E	C115
40FF	D453
44FD	D6DA
DE5A	9E45
D49B	34BF
C0C0	FAAF
F318	AE1C
B3AF	F0C9
320F	9553
4E06	74F8
2093	E0E3
DE26	7538
B98E	A2AB
265E	D409
9CC9	7C1F
27E5	3F59
4038	687C
2C5D	415C
673C	D198
94B0	72DD
2F7C	6140
EF1E	F945
64AE	A374
C3B6	5399
E5E9	B968
4E91	BAF2
3EE8	CA1C
E788	F98B
EFF0	C8ED
018A	9705
D313	2013
8307	4D62
BA2C	1F03
8651	9105
146B	3878
D152	24B6
693B	9144
ED04	CE6D
33A4	9FF5
2872	7DE0
B13D	A66E
4865	5CB0
1609	6FE0
FA1A	DD7D
ED19	F3F1
FA2F	4C49
9076	45F4
2D29	CA9F
4FDE	8D82
2BC4	548C
8284	97A5
30DF	C8EC
B6F1	AF49
014C	7249
4D9D	ABB2
B866	D8FA
69E9	5694
414C	6A3E
9E98	5784
606A	93FC
4217	E44D
98EB	1E82
AD5D	8CA0
90C2	EFFF
F326	E03A
FBD7	252B
